Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,IvySyn,,,,,,,,,,,
API,MAX,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600
expand,201,,196.8,201,201,201,201,201,201,201,201,201,201,201,,63,63,63,63,63,63,63,63,63,63,63,63
reshape,264.8,,264.8,264.8,264.8,264.8,264.8,264.8,264.8,264.8,264.8,264.8,264.8,264.8,,160,160,160,160,160,160,160,160,160,160,160,160
unbind,244,,244,244,244,244,244,244,244,244,244,244,244,244,,104,104,104,104,104,104,104,104,104,104,104,104
select,254,,254,254,254,254,254,254,254,254,254,254,254,254,,119,119,119,119,119,119,119,119,119,119,119,119
amax,2432,,2055.2,2125.4,2229.2,2285.8,2316.6,2346,2373.2,2387.8,2406.4,2428.2,2428.6,2432,,729,729,729,729,729,729,729,729,729,729,729,729
amin,2360.8,,2052.8,2057.8,2062.4,2081.8,2160.6,2212.2,2249.6,2301.4,2335.2,2342.8,2348.4,2360.8,,675,675,675,675,675,675,675,675,675,675,675,675
divide,4766,,4656.4,4699.6,4700.8,4701.8,4739,4739.2,4739.4,4748,4757.4,4757.4,4757.4,4766,,904,904,904,904,904,904,904,904,904,904,904,904
subtract,6381,,6154.8,6236.2,6274.4,6287.6,6305.2,6328.6,6329,6337.8,6348.2,6361.8,6372.2,6381,,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086
isclose,6214.8,,6036.4,6107.2,6157.8,6185.8,6207.4,6209.8,6209.8,6214.6,6214.6,6214.6,6214.8,6214.8,,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577
mul,4559.2,,4459,4510,4518.2,4551,4551,4559.2,4559.2,4559.2,4559.2,4559.2,4559.2,4559.2,,682,682,682,682,682,682,682,682,682,682,682,682
add,4562.4,,4380.8,4425.2,4479,4494.6,4520.2,4528,4553,4562.4,4562.4,4562.4,4562.4,4562.4,,709,709,709,709,709,709,709,709,709,709,709,709
rsub,6414.4,,6202.6,6268.2,6299.8,6317.4,6328.2,6338.6,6358,6367.8,6377.8,6379.8,6395.8,6414.4,,735,735,735,735,735,735,735,735,735,735,735,735
narrow,255.6,,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,,148,152,152,152,152,152,152,152,152,152,152,152
view,216.4,,216.4,216.4,216.4,216.4,216.4,216.4,216.4,216.4,216.4,216.4,216.4,216.4,,110,110,110,110,110,110,110,110,110,110,110,110
unsqueeze,224.2,,224.2,224.2,224.2,224.2,224.2,224.2,224.2,224.2,224.2,224.2,224.2,224.2,,89,89,89,89,89,89,89,89,89,89,89,89
celu,422.2,,390.6,390.6,390.6,390.6,398.6,398.6,406.4,406.4,414.4,414.4,414.4,422.2,,210,210,210,210,210,210,210,210,210,210,210,210
div,3147.8,,3095.8,3139.2,3147.8,3147.8,3147.8,3147.8,3147.8,3147.8,3147.8,3147.8,3147.8,3147.8,,558,558,558,558,558,558,558,558,558,558,558,558
permute,222,,210,216,222,222,222,222,222,222,222,222,222,222,,89,89,89,89,89,89,89,89,89,89,89,89
split,276,,276,276,276,276,276,276,276,276,276,276,276,276,,140,140,140,140,140,140,140,140,140,140,140,140
flatten,284,,284,284,284,284,284,284,284,284,284,284,284,284,,181,181,181,181,181,181,181,181,181,181,181,181
dot,473.4,,473.4,473.4,473.4,473.4,473.4,473.4,473.4,473.4,473.4,473.4,473.4,473.4,,80,80,80,80,80,80,80,80,80,80,80,80
allclose,6423.4,,6224.8,6256,6307.6,6365.8,6382.8,6391.4,6404,6419,6419.4,6422.4,6423.4,6423.4,,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807
clamp_min,1355.4,,1168.4,1242.6,1267.2,1298,1305,1311,1329.2,1335.8,1342.8,1348.6,1348.6,1355.4,,511,511,511,511,511,511,511,511,511,511,511,511
logical_or,5689.4,,5594.8,5658.4,5689.4,5689.4,5689.4,5689.4,5689.4,5689.4,5689.4,5689.4,5689.4,5689.4,,870,870,870,870,870,870,870,870,870,870,870,870
matmul,5492.2,,4745.4,5004,5146.2,5222.8,5284.4,5312.4,5383,5407.6,5440,5455,5472.6,5492.2,,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290
mv,638.6,,635.4,635.8,638.6,638.6,638.6,638.6,638.6,638.6,638.6,638.6,638.6,638.6,,206,206,206,206,206,206,206,206,206,206,206,206
std,2176.8,,2146.8,2162,2165.4,2169.2,2172.6,2172.6,2172.6,2172.6,2176.4,2176.8,2176.8,2176.8,,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059,1059
kthvalue,3118.4,,2971,3080.6,3096.4,3113.2,3113.2,3118.4,3118.4,3118.4,3118.4,3118.4,3118.4,3118.4,,951,951,951,951,951,951,951,951,951,951,951,951
split_with_sizes,290,,290,290,290,290,290,290,290,290,290,290,290,290,,149,149,149,149,149,149,149,149,149,149,149,149
dropout,3608,,3456.2,3534.4,3542,3584.6,3584.6,3600.6,3600.6,3600.6,3608,3608,3608,3608,,54,54,54,54,54,54,54,54,54,54,54,54
pdist,670,,558.4,588.2,607.8,630,639.4,646.2,650.4,653.6,657.8,662.6,665,670,,354,354,354,354,354,354,354,354,354,354,354,354
add_out_sparse_cpu,293,,35,35,35,35,35,35,35,35,35,35,35,35,,293,293,293,293,293,293,293,293,293,293,293,293
sort_cpu,4081,,3938.6,3982,3998.4,4023.8,4042.6,4042.6,4042.6,4042.6,4056.8,4081,4081,4081,,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160
sort_cpu_stable,5942.8,,5776.4,5850.8,5897.8,5917.8,5924.6,5931.2,5933.6,5939.6,5942.8,5942.8,5942.8,5942.8,,1426,1426,1426,1426,1426,1426,1426,1426,1426,1426,1426,1426
kl_div,11137,,10260.6,10582.8,10740.4,10851.2,10937.4,10967.6,10997.4,11046.6,11048,11075.2,11128.6,11137,,2078,2078,2078,2078,2078,2078,2078,2078,2078,2078,2078,2078
unfold,244,,244,244,244,244,244,244,244,244,244,244,244,244,,133,133,133,133,133,133,133,133,133,133,133,133
