,,0,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,4,,,,,,,,,,,
API,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600
adaptive_avg_pool1d,,1530,1531,1531,1532,1532,1532,1532,1532,1532,1532,1532,1532,,1531,1532,1532,1532,1533,1533,1533,1533,1533,1533,1533,1533,,1532,1533,1533,1533,1533,1533,1534,1534,1534,1534,1534,1534,,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,,1531,1531,1531,1532,1532,1532,1532,1533,1533,1533,1533,1533
adaptive_avg_pool2d,,1306,1306,1306,1306,1306,1306,1306,1307,1307,1307,1307,1308,,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,,1306,1307,1307,1307,1307,1307,1307,1307,1307,1308,1308,1308,,1306,1306,1306,1306,1306,1306,1306,1306,1306,1307,1307,1307
adaptive_avg_pool3d,,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1638,,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,,1621,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638
adaptive_max_pool2d,,170,170,170,170,170,170,170,170,170,170,170,170,,170,170,170,170,170,170,170,170,170,170,170,170,,170,170,170,170,170,170,170,170,170,170,170,170,,170,170,170,170,170,170,170,170,170,170,170,170,,170,170,170,170,170,170,170,170,170,170,170,170
avg_pool1d,,945,945,945,945,945,945,945,945,945,945,945,945,,945,945,945,945,945,945,945,945,945,945,945,945,,945,945,945,945,945,945,945,945,945,945,945,945,,945,945,945,945,945,945,945,945,945,945,945,945,,941,944,944,944,944,944,944,944,944,944,944,944
avg_pool2d,,612,630,630,630,630,630,630,631,631,631,631,631,,668,671,671,678,678,686,686,686,686,686,686,686,,632,633,634,635,635,635,691,691,691,691,691,691,,663,670,672,672,689,689,689,689,689,689,697,697,,672,697,705,708,708,708,708,708,708,708,708,708
batch_norm,,540,540,591,591,602,607,607,607,607,607,607,608,,539,551,563,588,602,602,602,607,607,607,608,608,,566,602,602,603,603,603,608,608,608,608,608,608,,555,580,602,602,602,602,603,603,603,603,603,603,,524,539,587,587,587,598,598,602,602,602,602,602
binary_cross_entropy,,501,505,505,1009,1009,1009,1009,1009,1009,1009,1009,1009,,508,508,508,508,508,508,508,510,510,510,510,510,,505,505,505,505,505,505,505,796,796,796,796,796,,520,524,524,524,524,524,524,524,524,524,524,525,,529,529,529,529,529,529,529,1018,1018,1018,1018,1018
binary_cross_entropy_with_logits,,1327,1342,1343,1343,1343,1344,1344,1344,1344,1344,1344,1344,,1332,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,,1339,1339,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,,1339,1340,1343,1343,1343,1343,1343,1343,1343,1343,1343,1343,,1328,1328,1328,1328,1328,1339,1339,1339,1339,1339,1339,1339
