Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LPF,,,,,,,,,,,,,,DeepREL,,,,,,,,,,,,,,TitanFuzz,,,,,,,,,,,
API,MAX,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600
adaptive_avg_pool1d,1532.4,1530.8,1531.4,1531.4,1531.8,1532,1532,1532.2,1532.4,1532.4,1532.4,1532.4,1532.4,,,931.6,942,945,946.2,949.8,952.8,952.8,953.2,953.2,953.2,953.2,953.2,,,755.2,755.2,755.2,755.2,755.2,755.2,755.2,755.2,755.2,755.2,755.2,755.2
adaptive_avg_pool2d,1307.2,1306.2,1306.4,1306.4,1306.4,1306.4,1306.4,1306.4,1306.6,1306.6,1307,1307,1307.2,,,893.8,911.2,920.8,931.4,938.8,944.6,946,946,948.6,949,953.6,954.4,,,629.6,629.6,629.6,629.6,629.6,629.6,629.6,629.6,629.6,629.6,629.6,629.6
adaptive_avg_pool3d,1637.4,1633.8,1637.2,1637.2,1637.2,1637.2,1637.2,1637.2,1637.2,1637.2,1637.2,1637.2,1637.4,,,1085.4,1141,1166.2,1195.8,1203.4,1204.6,1206.6,1207.6,1209.8,1216.4,1216.4,1216.6,,,381.8,381.8,381.8,381.8,381.8,381.8,381.8,381.8,381.8,381.8,381.8,381.8
adaptive_max_pool2d,170,170,170,170,170,170,170,170,170,170,170,170,170,,,84,84,84,84,84,84,84,84,84,84,84,84,,,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4
avg_pool1d,944.8,944.2,944.8,944.8,944.8,944.8,944.8,944.8,944.8,944.8,944.8,944.8,944.8,,,331,331,331,331,331,331,331,331,331,331,331,331,,,295.4,295.4,295.4,295.4,295.4,295.4,295.4,295.4,295.4,295.4,295.4,295.4
avg_pool2d,682.6,649.4,660.2,662.4,664.6,668,669.6,680.8,681,681,681,682.6,682.6,,,167.2,179.2,188.8,193.4,193.6,195,195,195.8,195.8,196,196,196,,,145,145,145,145,145,145,145,145,145,145,145,145
batch_norm,1514,544.8,562.4,589,594.2,599.2,602.4,603.6,605.4,605.4,605.4,605.6,605.8,,,594,1231.8,1376.2,1421.4,1451.6,1458.6,1466,1481.6,1485.4,1494.8,1501.4,1514,,,575,575,575,575,575,575,575,575,575,575,575,575
binary_cross_entropy,822.4,512.6,514.2,514.2,615,615,615,615,771.4,771.4,771.4,771.4,771.6,,,811.2,815,815.2,818.8,819,821.6,821.8,822,822.2,822.2,822.4,822.4,,,783.2,783.2,783.2,783.2,783.2,783.2,783.2,783.2,783.2,783.2,783.2,783.2
binary_cross_entropy_with_logits,1341.2,1333,1337.8,1338.8,1338.8,1338.8,1341.2,1341.2,1341.2,1341.2,1341.2,1341.2,1341.2,,,1181.2,1186.8,1188.8,1191.8,1193.2,1194,1194.4,1195,1197,1197,1197.8,1197.8,,,788,788,788,788,788,788,788,788,788,788,788,788
