Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,,DeepREL,,,,,,,,,,,,,,TitanFuzz,,,,,,,,,,,
API,MAX,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600
BroadcastTo,12535.2,,8924.8,9262.8,9616.8,9923.4,10121.6,10274.4,10367,10477.2,10496.2,10673.4,10781.6,10946.8,,,10363.6,10851,11243,11541.2,11771.8,11798.6,11962.8,12022,12204.2,12407,12485.8,12535.2,,,1176.6,1176.6,1176.6,1176.6,1176.6,1176.6,1176.6,1176.6,1176.6,1176.6,1176.6,1176.6
DepthToSpace,8571.8,,1172.4,2181.8,5013,6765,7221.6,8369.8,8568.8,8569,8571.8,8571.8,8571.8,8571.8,,,796.2,1072.2,1191,1313.2,1379,1410.6,1464.8,1478.8,1549,1551,1557.2,1572.8,,,633,633,633,633,633,633,633,633,633,633,633,633
DiagPart,6607,,6601,6601,6601,6603,6605,6605,6605,6605,6605,6607,6607,6607,,,1828.8,2361.8,2537.6,2806.4,3003.8,3228.2,3289.6,3352,3396.8,3489.4,3550.2,3634.2,,,551.2,551.2,551.2,551.2,551.2,551.2,551.2,551.2,551.2,551.2,551.2,551.2
ExpandDims,8977.4,,8948.8,8960.4,8966.2,8966.4,8968.4,8971,8972.2,8972.2,8977.2,8977.2,8977.4,8977.4,,,587.8,714.4,739.8,771,771.4,821.4,850.2,850.2,901,901,901,901.4,,,715.8,715.8,715.8,715.8,715.8,715.8,715.8,715.8,715.8,715.8,715.8,715.8
Gather,14194.2,,13820.8,13896.4,13951.6,14012.2,14030.2,14050.6,14059.6,14120.4,14126.4,14141.8,14157.6,14194.2,,,4086,4339.4,4414,4476.6,4491.4,4522.2,4547.2,4572.8,4674.8,4685.4,4718.2,4747.8,,,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321
GatherNd,17219.6,,15489.2,15899,16073.8,16308.6,16451,16573.6,16607.8,16868,16957,17043.2,17121.4,17219.6,,,5163,5976.8,6544.2,6805.8,7103.8,7212.4,7334.6,7563.4,7718,7812.2,7952.2,7991.2,,,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282
MatrixBandPart,8156.2,,7766,7882.6,7944,7977.4,7996.8,8011.4,8059.4,8076.6,8105.6,8108.6,8136.6,8156.2,,,5189.8,5356,5414.2,5568.6,5659.4,5706.4,5782.6,5785.8,5837.2,5855.4,5899,5937.2,,,1326.6,1326.6,1326.6,1326.6,1326.6,1326.6,1326.6,1326.6,1326.6,1326.6,1326.6,1326.6
MatrixDiag,8634.2,,8608,8628,8634.2,8634.2,8634.2,8634.2,8634.2,8634.2,8634.2,8634.2,8634.2,8634.2,,,2404.4,3016.4,3441.4,3666.6,3850,4006.4,4172.6,4336,4386.4,4474.6,4524.2,4600.6,,,794.4,794.4,794.4,794.4,794.4,794.4,794.4,794.4,794.4,794.4,794.4,794.4
MatrixDiagPartV2,7719.4,,6195,6403.6,6629.8,6772.6,6774.8,6774.8,7227.4,7401.2,7403.8,7410.2,7617.2,7719.4,,,2929.6,3599,4122.6,4459.8,4744,4842.4,4931.6,5198.4,5366.2,5476.6,5596.8,5604,,,803.4,803.4,803.4,803.4,803.4,803.4,803.4,803.4,803.4,803.4,803.4,803.4
