LPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,4,,,,,,,,,,,
API,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600
adaptive_avg_pool1d,,1530,1531,1531,1532,1532,1532,1532,1532,1532,1532,1532,1532,,1531,1532,1532,1532,1533,1533,1533,1533,1533,1533,1533,1533,,1532,1533,1533,1533,1533,1533,1534,1534,1534,1534,1534,1534,,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,,1531,1531,1531,1532,1532,1532,1532,1533,1533,1533,1533,1533
adaptive_avg_pool2d,,1306,1306,1306,1306,1306,1306,1306,1307,1307,1307,1307,1308,,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,,1306,1307,1307,1307,1307,1307,1307,1307,1307,1308,1308,1308,,1306,1306,1306,1306,1306,1306,1306,1306,1306,1307,1307,1307
adaptive_avg_pool3d,,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1638,,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,,1621,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638
adaptive_max_pool1d,,352,352,352,352,352,352,352,352,352,352,352,352,,352,352,352,352,352,352,352,352,352,352,352,352,,352,352,352,352,352,352,352,352,352,352,352,352,,352,352,352,352,352,352,352,352,352,352,352,352,,352,352,352,352,352,352,352,352,352,352,352,352
adaptive_max_pool2d,,170,170,170,170,170,170,170,170,170,170,170,170,,170,170,170,170,170,170,170,170,170,170,170,170,,170,170,170,170,170,170,170,170,170,170,170,170,,170,170,170,170,170,170,170,170,170,170,170,170,,170,170,170,170,170,170,170,170,170,170,170,170
adaptive_max_pool3d,,369,369,369,369,369,369,369,369,369,369,369,369,,367,367,367,367,367,367,367,367,367,367,367,367,,367,367,367,367,367,367,367,367,367,367,367,367,,369,369,369,369,369,369,369,369,369,369,369,369,,369,369,369,369,369,369,369,369,369,369,369,369
alpha_dropout,,861,862,862,862,862,862,862,862,862,862,862,862,,861,862,862,862,862,862,862,862,862,862,862,862,,862,862,862,862,862,862,862,862,862,862,862,862,,863,864,864,864,864,864,864,864,864,864,864,864,,861,863,863,863,863,863,863,863,863,863,863,863
avg_pool1d,,945,945,945,945,945,945,945,945,945,945,945,945,,945,945,945,945,945,945,945,945,945,945,945,945,,945,945,945,945,945,945,945,945,945,945,945,945,,945,945,945,945,945,945,945,945,945,945,945,945,,941,944,944,944,944,944,944,944,944,944,944,944
avg_pool2d,,612,630,630,630,630,630,630,631,631,631,631,631,,668,671,671,678,678,686,686,686,686,686,686,686,,632,633,634,635,635,635,691,691,691,691,691,691,,663,670,672,672,689,689,689,689,689,689,697,697,,672,697,705,708,708,708,708,708,708,708,708,708
