Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-NDP,,,,,,,,,,,
API,MAX,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600
adaptive_avg_pool1d,1533,,1530.8,1531.4,1531.4,1531.8,1532,1532,1532.2,1532.4,1532.4,1532.4,1532.4,1532.4,,1530.6,1531.2,1531.6,1531.8,1532,1532.2,1532.4,1532.6,1533,1533,1533,1533
adaptive_avg_pool2d,1307.2,,1306.2,1306.4,1306.4,1306.4,1306.4,1306.4,1306.4,1306.6,1306.6,1307,1307,1307.2,,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306
adaptive_avg_pool3d,1637.6,,1633.8,1637.2,1637.2,1637.2,1637.2,1637.2,1637.2,1637.2,1637.2,1637.2,1637.2,1637.4,,1634,1637.6,1637.6,1637.6,1637.6,1637.6,1637.6,1637.6,1637.6,1637.6,1637.6,1637.6
adaptive_max_pool1d,352,,352,352,352,352,352,352,352,352,352,352,352,352,,352,352,352,352,352,352,352,352,352,352,352,352
adaptive_max_pool2d,170,,170,170,170,170,170,170,170,170,170,170,170,170,,170,170,170,170,170,170,170,170,170,170,170,170
adaptive_max_pool3d,368.8,,368.2,368.2,368.2,368.2,368.2,368.2,368.2,368.2,368.2,368.2,368.2,368.2,,368.8,368.8,368.8,368.8,368.8,368.8,368.8,368.8,368.8,368.8,368.8,368.8
alpha_dropout,862.6,,861.6,862.6,862.6,862.6,862.6,862.6,862.6,862.6,862.6,862.6,862.6,862.6,,862.6,862.6,862.6,862.6,862.6,862.6,862.6,862.6,862.6,862.6,862.6,862.6
avg_pool1d,944.8,,944.2,944.8,944.8,944.8,944.8,944.8,944.8,944.8,944.8,944.8,944.8,944.8,,940.4,944.8,944.8,944.8,944.8,944.8,944.8,944.8,944.8,944.8,944.8,944.8
avg_pool2d,691.4,,649.4,660.2,662.4,664.6,668,669.6,680.8,681,681,681,682.6,682.6,,648.4,660,667.2,669,677,677.2,679.8,686.4,688.6,690.2,690.2,691.4
avg_pool3d,763,,615.4,663.8,676,682.2,688.8,689.6,692.2,692.4,692.4,692.6,697.4,711.2,,531,661.4,684.2,716.2,735.2,740.6,743.2,743.2,759.4,759.4,762.8,763
batch_norm,606.2,,544.8,562.4,589,594.2,599.2,602.4,603.6,605.4,605.4,605.4,605.6,605.8,,531.8,552.8,566.2,581.2,593.2,593.2,601.2,603,605.8,605.8,605.8,606.2
