Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,,LPF-STAGED,,,,,,,,,,,
API,MAX,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600
adaptive_avg_pool1d,1532.4,,1530.8,1531.4,1531.4,1531.8,1532,1532,1532.2,1532.4,1532.4,1532.4,1532.4,1532.4,,,1305.4,1433.2,1463.8,1464.8,1466.2,1469.4,1469.8,1469.8,1470,1470,1476.8,1476.8
adaptive_avg_pool2d,1307.2,,1306.2,1306.4,1306.4,1306.4,1306.4,1306.4,1306.4,1306.6,1306.6,1307,1307,1307.2,,,572,651.6,704.6,742.2,783.8,844.6,961.8,983.8,1052.8,1095.4,1161.8,1176.4
adaptive_avg_pool3d,1637.4,,1633.8,1637.2,1637.2,1637.2,1637.2,1637.2,1637.2,1637.2,1637.2,1637.2,1637.2,1637.4,,,339.2,468.2,674.4,720,940.4,1013.4,1027.4,1067.8,1080.6,1131.4,1167.4,1181.6
adaptive_max_pool1d,352,,352,352,352,352,352,352,352,352,352,352,352,352,,,219.8,277.6,310.8,312.2,334,339,343.6,343.6,343.6,344.2,344.2,344.2
adaptive_max_pool2d,170,,170,170,170,170,170,170,170,170,170,170,170,170,,,75.2,76.8,77,130,146.8,146.8,148.2,148.6,149,149,149,167.8
adaptive_max_pool3d,368.2,,368.2,368.2,368.2,368.2,368.2,368.2,368.2,368.2,368.2,368.2,368.2,368.2,,,124.4,147.8,197.2,201.4,203.8,205.8,206,219.8,239,265.8,266,282.8
alpha_dropout,862.6,,861.6,862.6,862.6,862.6,862.6,862.6,862.6,862.6,862.6,862.6,862.6,862.6,,,683.8,691.8,695.8,700,710,728.6,730.6,735.8,735.8,735.8,735.8,736.4
avg_pool1d,944.8,,944.2,944.8,944.8,944.8,944.8,944.8,944.8,944.8,944.8,944.8,944.8,944.8,,,308.4,320,320,320,320,320,320,320,381.6,382.2,382.2,382.2
avg_pool2d,682.6,,649.4,660.2,662.4,664.6,668,669.6,680.8,681,681,681,682.6,682.6,,,191.8,191.8,192,192,192,192,192,234.8,234.8,234.8,234.8,234.8
avg_pool3d,711.2,,615.4,663.8,676,682.2,688.8,689.6,692.2,692.4,692.4,692.6,697.4,711.2,,,45,45,88.6,111.2,163,188.2,197.8,199.2,213.8,213.8,228.8,229
batch_norm,605.8,,544.8,562.4,589,594.2,599.2,602.4,603.6,605.4,605.4,605.4,605.6,605.8,,,418.4,418.8,431.6,447.4,464.8,480.8,499.8,521,529.8,553.8,569.6,574.8
bilinear,2144,,2028,2077.6,2108.2,2131.2,2138.6,2140.4,2141.4,2142.8,2143.8,2144,2144,2144,,,1658.6,1736.4,1763,1789,1802.2,1825.8,1844.4,1851,1858.2,1858.8,1865.2,1866.6
binary_cross_entropy,771.6,,512.6,514.2,514.2,615,615,615,615,771.4,771.4,771.4,771.4,771.6,,,237.8,238,238.8,238.8,238.8,259.2,294.4,294.6,335,349.2,349.2,349.4
binary_cross_entropy_with_logits,1341.2,,1333,1337.8,1338.8,1338.8,1338.8,1341.2,1341.2,1341.2,1341.2,1341.2,1341.2,1341.2,,,740.8,805,916.8,941.6,949,992.6,1007.4,1020.8,1026.8,1036,1037.4,1037.4
celu,199,,199,199,199,199,199,199,199,199,199,199,199,199,,,128.6,135,150,150,150,150,150,150,157.8,161.6,161.6,161.6
conv1d,4114.6,,3294,3755.4,3971.4,4016,4042.2,4062.2,4068,4093,4097,4099.4,4112.2,4114.6,,,1821,2107.6,2283.8,2379.8,2421.4,2448,2461.6,2470,2474.4,2486.8,2509.6,2514.2
conv2d,4144.4,,3265.8,3719.8,3901.6,3993.4,4048.6,4070.6,4089.6,4096.2,4105.4,4123.4,4135,4144.4,,,1370,1710.8,1902,1989,2033.2,2042.8,2081.6,2166,2180.8,2184,2215,2274.2
conv3d,4578.6,,2992.6,3441.2,3773.6,3979.8,4145,4255.8,4321,4416.8,4465.4,4501,4558.6,4578.6,,,896.6,1412.6,1722.4,1796.4,1855.8,1980.4,2131.8,2249.2,2286.6,2364.4,2414.8,2444.4
conv_transpose1d,2290,,2022.4,2115.6,2191,2226.2,2231.8,2236.8,2262.6,2285.8,2289.4,2289.4,2289.4,2290,,,1030.6,1172.8,1404.8,1448.6,1576,1592.4,1627.2,1649.6,1656.2,1692,1749.2,1753.8
conv_transpose2d,2365,,1942.8,2157.6,2201.2,2230.6,2295.4,2318.6,2326.2,2329.2,2330.4,2330.8,2331.4,2365,,,760,869.8,1005.6,1145,1179.6,1210.6,1220.8,1221,1222.4,1237,1237,1302.6
cosine_similarity,1221.2,,1220.2,1220.2,1220.6,1220.8,1221,1221,1221,1221.2,1221.2,1221.2,1221.2,1221.2,,,1027.6,1037,1041.8,1054,1054,1057.4,1060.4,1060.6,1060.6,1063.4,1063.4,1063.4
cross_entropy,2086.8,,1749,1813.2,1907.6,1935.6,1956.6,1983.8,1990.2,1996.2,2024.8,2045.2,2080.8,2086.8,,,245.2,339.8,388.4,425,431.2,458,471.8,516.2,527.6,560.2,563.6,566.2
ctc_loss,738.4,,735,735.6,736.6,737.4,737.8,738.2,738.4,738.4,738.4,738.4,738.4,738.4,,,426.6,428.6,433,435.4,439.6,441.8,442.4,444.6,447.8,449.6,461.2,480
dropout,788.2,,786.4,786.8,788,788.2,788.2,788.2,788.2,788.2,788.2,788.2,788.2,788.2,,,599,637.6,645.4,654.6,657.8,662.6,663.2,664,664,664,664.6,665.6
dropout2d,1028.8,,1027.2,1027.8,1028.4,1028.8,1028.8,1028.8,1028.8,1028.8,1028.8,1028.8,1028.8,1028.8,,,716.2,760,782,803,809.4,830,852,858,859.4,859.4,864,882.2
dropout3d,1028.8,,1026.8,1027.8,1028.2,1028.4,1028.8,1028.8,1028.8,1028.8,1028.8,1028.8,1028.8,1028.8,,,727.6,753.4,762.4,766.8,772.4,774.2,780.6,780.8,794.6,816.4,824.8,825.6
elu,181,,181,181,181,181,181,181,181,181,181,181,181,181,,,118.2,120.8,132,149.6,149.6,149.6,149.6,149.6,149.6,163.4,163.4,163.4
