Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-NDP,,,,,,,,,,,
API,MAX,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600
BroadcastTo,10946.8,,8924.8,9262.8,9616.8,9923.4,10121.6,10274.4,10367,10477.2,10496.2,10673.4,10781.6,10946.8,,8580.2,8853,9147.4,9291,9379.8,9496,9586.8,9731.6,9779.4,9899,9986.2,10027.8
DepthToSpace,8571.8,,1172.4,2181.8,5013,6765,7221.6,8369.8,8568.8,8569,8571.8,8571.8,8571.8,8571.8,,4145.2,4351.8,5222.6,5907.6,5984.6,6075.6,6116.2,6181,6237.6,6244.2,6244.2,6244.2
Diag,6793,,6788.2,6788.2,6788.2,6789.8,6789.8,6789.8,6789.8,6789.8,6789.8,6789.8,6789.8,6789.8,,6793,6793,6793,6793,6793,6793,6793,6793,6793,6793,6793,6793
DiagPart,6607,,6601,6601,6601,6603,6605,6605,6605,6605,6605,6607,6607,6607,,6592.8,6594.8,6595.2,6597.2,6597.2,6599.2,6599.2,6601.2,6601.2,6601.2,6601.2,6601.2
EnsureShape,8575,,8528.2,8558.8,8572.4,8573,8574.6,8574.8,8574.8,8575,8575,8575,8575,8575,,8522.8,8522.8,8524,8524,8524,8524,8524,8524,8524,8524,8524,8524
ExpandDims,8982.2,,8948.8,8960.4,8966.2,8966.4,8968.4,8971,8972.2,8972.2,8977.2,8977.2,8977.4,8977.4,,8941,8953.4,8958,8958.8,8966.6,8968,8971.2,8975,8977,8981.8,8981.8,8982.2
Gather,14194.2,,13820.8,13896.4,13951.6,14012.2,14030.2,14050.6,14059.6,14120.4,14126.4,14141.8,14157.6,14194.2,,13793.4,13862.6,13934.2,13951.8,13982.8,13996,14008.6,14029.8,14034.2,14045.4,14057.2,14058
GatherNd,17688.6,,15489.2,15899,16073.8,16308.6,16451,16573.6,16607.8,16868,16957,17043.2,17121.4,17219.6,,15501.6,15854.8,16138.6,16338.2,16542.4,16741.8,16911.6,17096.8,17282.2,17368.8,17499,17688.6
Identity,8511,,8467.8,8503.4,8503.8,8508.8,8508.8,8508.8,8508.8,8508.8,8508.8,8508.8,8508.8,8508.8,,8505.4,8509.8,8509.8,8509.8,8509.8,8509.8,8511,8511,8511,8511,8511,8511
MatrixBandPart,8156.2,,7766,7882.6,7944,7977.4,7996.8,8011.4,8059.4,8076.6,8105.6,8108.6,8136.6,8156.2,,7830.4,7893.4,7931.8,7937.6,7975.2,8002.2,8024.2,8060.8,8082.2,8088,8117.8,8123
