Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-STAGED,,,,,,,,,,,
API,MAX,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600
BroadcastTo,12047.6,,8924.8,9262.8,9616.8,9923.4,10121.6,10274.4,10367,10477.2,10496.2,10673.4,10781.6,10946.8,,8048.4,8751.2,9317.6,9762.6,10182,10543.6,10878.8,11101.4,11275.4,11474.2,11882.6,12047.6
DepthToSpace,8571.8,,1172.4,2181.8,5013,6765,7221.6,8369.8,8568.8,8569,8571.8,8571.8,8571.8,8571.8,,5513.2,7065.8,7354.6,7505,7612.4,7650.2,7766.2,7804.4,7912.2,7980.2,7980.2,8030.2
Diag,6792.8,,6788.2,6788.2,6788.2,6789.8,6789.8,6789.8,6789.8,6789.8,6789.8,6789.8,6789.8,6789.8,,6696,6696.4,6792.8,6792.8,6792.8,6792.8,6792.8,6792.8,6792.8,6792.8,6792.8,6792.8
DiagPart,6607,,6601,6601,6601,6603,6605,6605,6605,6605,6605,6607,6607,6607,,6602.4,6602.4,6602.4,6602.4,6602.4,6602.4,6602.4,6602.4,6602.4,6602.4,6602.4,6602.4
EnsureShape,8575,,8528.2,8558.8,8572.4,8573,8574.6,8574.8,8574.8,8575,8575,8575,8575,8575,,6161.2,6401.6,6532.2,6725.6,6865.6,6950.6,7228,7378.8,7715.8,7798.8,7966.8,8003.2
ExpandDims,8977.4,,8948.8,8960.4,8966.2,8966.4,8968.4,8971,8972.2,8972.2,8977.2,8977.2,8977.4,8977.4,,6541.2,6617,6675.8,6712,6766,6802,6868.8,6869,6869,6905,6905.2,6905.2
Gather,14194.2,,13820.8,13896.4,13951.6,14012.2,14030.2,14050.6,14059.6,14120.4,14126.4,14141.8,14157.6,14194.2,,7023,7222.2,7408.4,7502.8,7536.2,7752.6,7772.2,7790,7880.2,7902.6,7911.4,7961.8
GatherNd,17219.6,,15489.2,15899,16073.8,16308.6,16451,16573.6,16607.8,16868,16957,17043.2,17121.4,17219.6,,8102.6,8745.2,9066.6,9406.4,9740.4,9870.8,10031.8,10205.6,10449.6,10508.6,10594,10766.2
Identity,8508.8,,8467.8,8503.4,8503.8,8508.8,8508.8,8508.8,8508.8,8508.8,8508.8,8508.8,8508.8,8508.8,,5898.6,6035.4,6171.6,6398.4,6448.8,6584.6,6858.6,7073.8,7156.6,7179.2,7233.2,7233.8
MatrixBandPart,8156.2,,7766,7882.6,7944,7977.4,7996.8,8011.4,8059.4,8076.6,8105.6,8108.6,8136.6,8156.2,,6352,6434.8,6471.2,6514,6553.6,6577.8,6581.6,6583.6,6635,6638.2,6639.4,6693.8
MatrixDiag,8634.2,,8608,8628,8634.2,8634.2,8634.2,8634.2,8634.2,8634.2,8634.2,8634.2,8634.2,8634.2,,6541,6781,7226.8,7762.6,8110.4,8278.6,8327.4,8327.4,8328.6,8366.6,8407.6,8489.6
MatrixDiagPart,8597.2,,8575,8589.2,8597.2,8597.2,8597.2,8597.2,8597.2,8597.2,8597.2,8597.2,8597.2,8597.2,,6816.6,7198.8,7439.2,7538.2,7716.2,7875.6,7972.4,8032.2,8213.2,8253.2,8254.8,8254.8
MatrixDiagPartV2,7719.4,,6195,6403.6,6629.8,6772.6,6774.8,6774.8,7227.4,7401.2,7403.8,7410.2,7617.2,7719.4,,6730,6846.4,7106.2,7289,7372.4,7418.2,7423.4,7424.4,7488.2,7580.4,7582.4,7584.6
MatrixDiagPartV3,7454.8,,5498.2,5735.4,5875.6,6622.6,6678.4,6720.6,6788.4,6913.6,7057.8,7139.8,7182.6,7267.6,,6545,6727.4,6799.2,6879.8,6946.8,6950.8,7021.2,7169.8,7299.2,7383.8,7406.6,7454.8
MatrixDiagV2,6506.4,,1274.4,1476,1679.4,1694.2,1902.4,1902.6,1902.6,1902.6,1909,1909,1909.2,2316.2,,3106.8,6191.2,6194.8,6302.4,6304.8,6388.4,6388.4,6388.4,6397.6,6398.6,6401.4,6506.4
MatrixDiagV3,6849.4,,1918.8,2127.2,2141.8,2141.8,2355.4,2355.4,2364,2364,2364.2,2364.2,2364.2,2365.4,,6300.8,6640.8,6661,6712.4,6772,6772.6,6775,6786,6840.6,6847.2,6847.6,6849.4
MatrixSetDiagV2,8406,,6663.8,6798.2,7346.6,7500,7805.6,7954.2,8019.6,8065.6,8177.6,8250.8,8287.4,8406,,6560,6722.6,6737.2,6788.8,6854.2,7134.8,7296.6,7371,7393.6,7427.2,7434.6,7483.2
MatrixSetDiagV3,7915.8,,6852.8,7082,7375.2,7553.8,7585.2,7696.4,7755.2,7826.2,7826.4,7871.8,7873.6,7915.8,,6870.4,6927.2,7056.8,7170.2,7185.6,7298.6,7465.4,7558.6,7669.2,7704.8,7763,7765.2
OnesLike,6222.2,,6207,6218.8,6220.4,6222.2,6222.2,6222.2,6222.2,6222.2,6222.2,6222.2,6222.2,6222.2,,5527.2,5835,5966.8,6024,6077.6,6083.4,6087.4,6087.4,6088.6,6089.4,6095.2,6156.4
Pad,15828,,3520,3520,5817.4,6070.8,6515.8,6898.6,7079,7251.6,7520,8742.2,8896.8,9485.8,,9429.6,11530.6,12675.2,13356,13856.8,14529.4,14755.2,15006.8,15239.6,15577.6,15649.4,15828
PadV2,13726.4,,2979.8,2979.8,3012.6,3012.6,3012.6,3012.6,3878.8,3878.8,3878.8,4159.6,4270.4,4270.4,,8067.2,9657.4,10635.2,11122,11793.8,12232.2,12626.8,12912.2,13132.6,13367.8,13550.4,13726.4
Where,9427.6,,9317.4,9388.2,9410.4,9421.8,9426.2,9426.2,9426.4,9426.4,9427.6,9427.6,9427.6,9427.6,,7360,7707,7845.4,8201.2,8430,8527.2,8619.4,8681.6,8717.6,8756,8792.4,8807.4
ZerosLike,6508.2,,6503.4,6508.2,6508.2,6508.2,6508.2,6508.2,6508.2,6508.2,6508.2,6508.2,6508.2,6508.2,,5512.2,5553.8,5734.2,5922.2,5978.8,6028,6029.2,6029.2,6034.8,6138.8,6146,6146
AdjustHue,5427,,5381,5418.8,5418.8,5418.8,5418.8,5418.8,5418.8,5418.8,5418.8,5418.8,5418.8,5418.8,,5423.4,5425,5425,5425,5427,5427,5427,5427,5427,5427,5427,5427
AdjustSaturation,5374.4,,5371.6,5371.6,5371.6,5371.6,5371.6,5371.6,5373.6,5373.6,5373.6,5373.6,5373.6,5373.6,,5372.4,5372.4,5372.4,5372.4,5374.4,5374.4,5374.4,5374.4,5374.4,5374.4,5374.4,5374.4
EncodePng,5984.4,,5968.2,5972.8,5978,5978,5978,5978,5978,5978,5978,5978,5978,5980.8,,5971,5978.4,5982.4,5984.4,5984.4,5984.4,5984.4,5984.4,5984.4,5984.4,5984.4,5984.4
ExtractGlimpse,7849.2,,1244.2,1244.2,1244.2,1244.2,1244.2,1244.2,2089.4,2089.6,2089.6,2090.4,2090.8,2090.8,,3445.2,6159.8,7473.6,7545.2,7699.8,7730.6,7823,7838.6,7849.2,7849.2,7849.2,7849.2
HSVToRGB,8043,,8014.8,8031.2,8040.2,8042.6,8042.6,8042.6,8042.6,8042.6,8042.6,8043,8043,8043,,7822.6,7965.2,7999.2,8015,8015.2,8015.2,8015.2,8017.6,8017.6,8023,8023.6,8023.6
RGBToHSV,10485.8,,10418.4,10430.8,10454.2,10460.4,10469.4,10469.4,10470,10470,10470.2,10470.2,10470.2,10470.2,,10299,10316,10360.6,10361.6,10376.8,10420.6,10426.6,10426.6,10441,10459,10473.4,10485.8
ResizeBicubic,8085.8,,3191.4,3191.4,3191.4,3192,3192,3192,3192,3192,3243.8,3425.4,3573,3591.8,,6716.6,7111.4,7311.4,7473.4,7516.6,7624.6,7727,7812.4,7885,7979.6,8013.4,8085.8
ResizeBilinear,8034,,4977,5029.4,5968.2,5991.4,6015,6106.2,6275,6321.4,6327.6,6377.2,6540,6564,,6666.8,6916.4,7157.2,7252.6,7493.2,7616,7718.4,7799,7901.6,7952.2,8011.8,8034
ResizeNearestNeighbor,8113.4,,3976.6,4875.8,4913.2,4913.2,4913.2,4913.2,4913.2,4913.2,4913.2,4975.8,5047.2,5117.8,,6872.4,7093.4,7260.6,7360.8,7551.8,7632,7740.8,7836.8,7886.2,7979.4,8087.6,8113.4
MatchingFiles,5408.6,,5405.2,5406,5406,5406.4,5406.4,5406.4,5406.4,5406.4,5406.4,5406.4,5406.4,5406.4,,5407,5407.8,5407.8,5407.8,5407.8,5408.6,5408.6,5408.6,5408.6,5408.6,5408.6,5408.6
Abs,6842.6,,6836.2,6842.4,6842.6,6842.6,6842.6,6842.6,6842.6,6842.6,6842.6,6842.6,6842.6,6842.6,,6408.6,6633.4,6709.2,6780.8,6783.2,6783.2,6799.6,6799.6,6799.6,6799.6,6799.6,6835.2
Add,19642.8,,11644.8,13737.8,14548.2,15791,16918.6,17525,17845.2,18379,18614,18892.4,19225,19642.8,,10815.8,12143.2,12621.6,13391.4,13927.4,14455.2,15009,15194.6,15466,15580,15680.2,15792.4
AddN,9554.8,,8641,8979.8,9114.4,9221,9300.2,9317.6,9376,9445.2,9503.8,9504,9529.2,9554.8,,6511.8,6753.8,6931.8,6944.6,7053.8,7136.4,7237.8,7310.8,7328.2,7361.8,7383.8,7493.8
